student_id,well_versed_with_the_subject,explains_concepts_in_an_understandable_way,use_of_presentations,degree_of_difficulty_of_assignments,solves_doubts_willingly,structuring_of_the_course,provides_support_for_students_going_above_and_beyond,course_recommendation_based_on_relevance,overall_satisfaction,comments,sentiment_polarity,sentiment_label
340,5,2,7,6,9,2,1,8,5.0,SYNTHETIC: struggled to follow some topics; doubt solving is helpful; course needs better structure; slides are helpful,0.5,Positive
253,6,5,8,6,2,1,2,9,4.875,SYNTHETIC: need more support for doubts; course needs better structure; slides are helpful,0.5,Positive
680,7,7,6,5,4,2,3,1,4.375,SYNTHETIC: explanations are easy to follow; hard to get help when needed; course needs better structure,0.21388888888888888,Positive
806,9,6,7,1,5,9,4,6,5.875,SYNTHETIC: tasks are fair; slides are helpful,0.7,Positive
632,8,10,8,4,6,6,9,9,7.5,SYNTHETIC: concepts are clear; presentations add value,0.09999999999999999,Neutral
832,7,2,7,8,3,5,1,4,4.625,SYNTHETIC: struggled to follow some topics; workload feels heavy; need more support for doubts; presentations add value,0.15,Positive
772,9,3,5,2,10,3,8,1,5.125,SYNTHETIC: need clearer explanations; workload is reasonable; got quick support; unclear weekly plan,0.26666666666666666,Positive
961,9,8,7,4,4,3,3,10,6.0,SYNTHETIC: concepts are clear; need more support for doubts; unclear weekly plan; presentations add value,0.3,Positive
814,6,5,8,6,4,4,7,9,6.125,SYNTHETIC: slow response to queries; course needs better structure; presentations add value,0.09999999999999998,Neutral
863,5,9,4,7,9,4,4,5,5.875,SYNTHETIC: concepts are clear; assignments are too hard; mentor support is good; course needs better structure; slides could be improved,0.2520833333333333,Positive
576,10,3,8,6,6,3,6,9,6.375,SYNTHETIC: need clearer explanations; unclear weekly plan; presentations add value,0.0,Neutral
702,8,4,7,1,2,1,8,8,4.875,SYNTHETIC: struggled to follow some topics; workload is reasonable; slow response to queries; course needs better structure; presentations add value,0.13333333333333333,Positive
541,5,4,4,2,2,7,8,1,4.125,SYNTHETIC: struggled to follow some topics; tasks are fair; need more support for doubts; slides could be improved,0.6,Positive
552,5,6,7,2,7,4,4,2,4.625,SYNTHETIC: assignments are manageable; mentor support is good; course needs better structure; slides are helpful,0.6,Positive
510,6,7,8,3,4,7,7,6,6.0,SYNTHETIC: concepts are clear; tasks are fair; slow response to queries; presentations add value,0.16666666666666663,Positive
